"OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"Windows 10 Pro","","10.0 (17723)"
"Windows 10 Pro","","10.0 (17763)"
"Windows 10 Pro","","10.0 (18362)"
"Windows 10 Pro","","10.0 (18363)"
"Windows 10 Pro","","10.0 (19041)"
"Windows 10 Pro","","10.0 (19042)"
"Windows 10 Pro","","10.0 (19043)"
"Windows 10 Pro","","10.0 (19044)"
"Windows 10 Pro","","10.0 (19045)"
"Windows 10 Pro (Registered Trademark)","","10.0 (14393)"
"Windows 10 Pro Education","","10.0 (17134)"
"Windows 10 Pro Education","","10.0 (19044)"
"Windows 10 Pro Education N","","10.0 (17134)"
"Windows 10 Pro for Workstations","","10.0 (16299)"
"Windows 10 Pro for Workstations","","10.0 (17134)"
"Windows 10 Pro for Workstations","","10.0 (17763)"
"Windows 10 Pro for Workstations","","10.0 (18362)"
"Windows 10 Pro for Workstations","","10.0 (18363)"
"Windows 10 Pro for Workstations","","10.0 (19041)"
"Windows 10 Pro for Workstations","","10.0 (19042)"
"Windows 10 Pro for Workstations","","10.0 (19043)"
"Windows 10 Pro for Workstations","","10.0 (19044)"
"Windows 10 Pro for Workstations","","10.0 (19045)"
"Windows 10 Pro N","","10.0 (15063)"
"Windows 10 Pro N","","10.0 (18363)"
"Windows 10 Pro N","","10.0 (19042)"
"Windows 10 Pro N","","10.0 (19043)"
"Windows 10 Pro N","","10.0 (19044)"
"Windows 10 Pro N","","10.0 (19045)"
"Windows 10 Pro N for Workstations","","10.0 (17134)"
"Windows 10 Pro N for Workstations","","10.0 (19045)"
"Windows 10 Professionnel","","10.0 (10586)"
"Windows 10 Professionnel","","10.0 (14393)"
"Windows 10 Professionnel","","10.0 (15063)"
"Windows 10 Professionnel","","10.0 (16299)"
"Windows 10 Professionnel","","10.0 (17134)"
"Windows 10 Professionnel","","10.0 (17763)"
"Windows 10 Professionnel","","10.0 (18362)"
"Windows 10 Professionnel","","10.0 (18363)"
"Windows 10 Professionnel","","10.0 (19041)"
"Windows 10 Professionnel","","10.0 (19042)"
"Windows 10 Professionnel","","10.0 (19043)"
"Windows 10 Professionnel","","10.0 (19044)"
"Windows 10 Professionnel","","10.0 (19045)"
"Windows 10 Professionnel Insider Preview","","10.0 (18956)"
"Windows 10 Professionnel N","","10.0 (17763)"
"Windows 10 Professionnel N","","10.0 (19043)"
